# comment: 'Exact matches only. Rows with object_id sssom:NoTermFound record a searched-and-not-found decision, not an absence of effort. semapv:CompositeMatching rows were adjudicated by an LLM over lexically retrieved candidates and carry the reason in `comment`; they are proposals for human review, not curated assertions. || REVIEW PROTOCOL. Reviewer: agent:claude-opus-5. Every row in this set was reviewed individually; no sampling. Each row carries reviewer_agreement (1.0 agree, 0.5 agree with reservations, 0.0 uncertain, -0.5 probably wrong, -1.0 definitely wrong) and curation_rule_text citing the rules the verdict rests on. Object identifiers were resolved against the target vocabulary rather than trusted from the input. CONFLATIONS PERMITTED: CM-005 (etiological vs phenomenological divergence) accepted only where cited per-row; no disease/phenotype conflation (CM-002) accepted; no CM-003, CM-006, CM-007 or CM-009 cases present. All 20 subjects are Mondo disease classes, so ST-006 holds throughout.. Curation rule registry: https://w3id.org/mondo/mapping-rules/ (core curation-rules.md plus the disease/phenotype pack rules-disease.md, family CM). NOTE: reviewer_agreement is a dev-spec SSSOM slot, absent from released sssom-schema 1.0.0; conformant parsers may drop the column. EVIDENCE CONSULTED: Mondo labels, exact synonyms, definitions, xrefs and hierarchical parents/children resolved live from EBI OLS4 (ontologies/mondo) on 2026-09-12; ICD-10-CM codes, current labels and full child lists resolved from the NLM Clinical Tables API (icd10cm/v3, FY2026 release); ICD-10 rubric inclusion notes read from the WHO ICD-10 2019 browser. Labels in the input file were NOT trusted and two were found stale (MONDO:0006835 is ''minimal change disease'', not ''lipoid nephrosis''; ICD10CM:D81.3 is now a category header, not the leaf ''Adenosine deaminase [ADA] deficiency''). SET-LEVEL DEFECTS: neither subject_source_version nor object_source_version is declared, so ST-003/ST-004 were checked against the current releases named above rather than a pinned version. ST-001 and ST-002 both clean: 20 distinct subjects, 20 distinct objects, no proxy or reverse proxy merges. NATURE OF THIS REVIEW: this is an AUTOMATED (AI) review by a language-model agent, NOT a human curator sign-off. It carries the same tier-3 status as the semapv:CompositeMatching rows it audits: EV-012 evidence, which does not by itself license a curated assertion. The 7 rows scored below 1.0 (one at -0.5, six at -1.0) REQUIRE HUMAN CONFIRMATION before the proposed predicate changes or rejections are acted on; they are flagged ''TBD:human-confirmation-required'' in issue_tracker_item. The 13 rows scored 1.0 are AI-endorsed proposals, not curated exact matches.'
# curie_map:
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   infores: https://w3id.org/information-resource-registry/
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_set_id: https://w3id.org/monarch-initiative/rare-disease-identification/mappings/mondo_icd10cm_exactmatch
# mapping_set_title: Prioritised rare disease list, MONDO to ICD-10-CM exact matches
# mapping_set_version: 2026-09-12
# object_source: infores:icd10cm
# subject_source: infores:mondo
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_preprocessing	match_string	object_match_field	subject_type	object_type	comment	reviewer_id	reviewer_agreement	curation_rule_text	issue_tracker_item
MONDO:0007534	Beckwith-Wiedemann syndrome	skos:exactMatch	ICD10CM:Q87.3	Congenital malformation syndromes involving early overgrowth	semapv:LexicalMatching	rdi-lexmatch	1.0000		Beckwith-Wiedemann syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo label. || REVIEW: Q87.3 'Congenital malformation syndromes involving early overgrowth' is a multi-disease grouping whose inclusion terms are Beckwith-Wiedemann, Sotos and Weaver syndromes, so it is strictly broader than MONDO:0007534; the recorded exact-synonym hit was on an ICD index inclusion rather than the rubric title, and skos:broadMatch would be correct.	agent:claude-opus-5	-1.0	maprule:EV-006 lexical similarity only | maprule:SC-004 disjunctive rubric | maprule:PR-003 object is a superclass	needs-human-confirmation
MONDO:0007608	desmoid tumor	skos:exactMatch	ICD10CM:D48.11	Desmoid tumor	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	desmoid tumor	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo label. || REVIEW: D48.11 'Desmoid tumor' (inclusion 'Aggressive fibromatosis') subdivides only into the site variants D48.110-D48.119, so its extension coincides with MONDO:0007608 and exactMatch is right even though D48.11 is a non-billable header rather than a leaf code.	agent:claude-opus-5	1.0	maprule:EV-001 exact match on primary label | maprule:SC-007 rubric coextensive with subject | maprule:PR-001 same real-world concept	
MONDO:0007750	hypercholesterolemia, familial, 1	skos:exactMatch	ICD10CM:E78.01	Familial hypercholesterolemia	semapv:LexicalMatching	rdi-lexmatch	0.9310	base_normalization|comma_inversion	familial hypercholesterolemia	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo synonym. || REVIEW: E78.01 'Familial hypercholesterolemia' subdivides only by zygosity (HoFH, HeFH, unspecified) and so spans every genetic form; it is coextensive with MONDO:0005439 'familial hypercholesterolemia', which Mondo itself already xrefs to ICD10CM:E78.01, and is broader than the LDLR subtype MONDO:0007750 whose siblings MONDO:0007751, MONDO:0011369 and MONDO:0011374 code there too; use skos:broadMatch or move the exact match to MONDO:0005439.	agent:claude-opus-5	-1.0	maprule:EV-004 match after declared lexical transformation | maprule:SC-006 subtype under type-agnostic rubric | maprule:PR-003 object is a superclass	needs-human-confirmation
MONDO:0007793	hypochondroplasia	skos:exactMatch	ICD10CM:Q77.4	Achondroplasia	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	hypochondroplasia	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label. || REVIEW: Q77.4 is titled 'Achondroplasia' and carries Hypochondroplasia and Osteosclerosis congenita only as inclusion terms, so the rubric denotes achondroplasia and spans three distinct diseases; MONDO:0007793 is a different disease from the rubric's own concept, the lexical hit was index-term noise, and skos:broadMatch is the most that holds.	agent:claude-opus-5	-1.0	maprule:EV-006 lexical similarity only | maprule:RJ-004 token overlap only | maprule:SC-004 disjunctive rubric | maprule:PR-003 object is a superclass	needs-human-confirmation
MONDO:0007864	angioosteohypertrophic syndrome	skos:exactMatch	ICD10CM:Q87.2	Congenital malformation syndromes predominantly involving limbs	semapv:LexicalMatching	rdi-lexmatch	0.9800		Klippel-Trenaunay-Weber syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo synonym. || REVIEW: Q87.2 'Congenital malformation syndromes predominantly involving limbs' lists Holt-Oram, Klippel-Trenaunay-Weber, nail patella, Rubinstein-Taybi, sirenomelia, TAR and VATER syndromes as inclusions, so it is a seven-disease grouping far broader than MONDO:0007864; skos:broadMatch. ST-002: this same code is also asserted as the exact match for MONDO:0008061 in this set.	agent:claude-opus-5	-1.0	maprule:EV-006 lexical similarity only | maprule:SC-004 disjunctive rubric | maprule:PR-003 object is a superclass | maprule:ST-002 reverse proxy merge	needs-human-confirmation
MONDO:0007972	Meniere disease	skos:exactMatch	ICD10CM:H81.0	Ménière's disease	semapv:LexicalMatching	rdi-lexmatch	0.9700	base_normalization|add_possessive	meniere's disease	rdfs:label	owl class	owl class	Lexical tier surgery on the Mondo label. || REVIEW: H81.0 'Meniere's disease' subdivides only by laterality (H81.01-H81.09), so its extension coincides with MONDO:0007972; the added possessive and the accent are declared orthographic transformations, not semantic ones.	agent:claude-opus-5	1.0	maprule:EV-004 match after declared lexical transformation | maprule:SC-007 rubric coextensive with subject | maprule:PR-001 same real-world concept	
MONDO:0008056	myotonic dystrophy type 1	skos:exactMatch	ICD10CM:G71.11	Myotonic muscular dystrophy	semapv:LexicalMatching	rdi-lexmatch	0.9800		Steinert disease	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo synonym. || REVIEW: G71.11 'Myotonic muscular dystrophy' lists 'Proximal myotonic myopathy [PROMM]' (myotonic dystrophy type 2) alongside 'Dystrophia myotonica [Steinert]' among its inclusions, so it covers DM1 and DM2 and is broader than MONDO:0008056; ICD-10-CM has no DM1-specific code, so skos:broadMatch is the correct predicate.	agent:claude-opus-5	-1.0	maprule:EV-003 exact match on exact synonym | maprule:SC-004 disjunctive rubric | maprule:PR-003 object is a superclass	needs-human-confirmation
MONDO:0008061	nail-patella syndrome	skos:exactMatch	ICD10CM:Q87.2	Congenital malformation syndromes predominantly involving limbs	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	nail patella syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo synonym. || REVIEW: Q87.2 'Congenital malformation syndromes predominantly involving limbs' is a seven-disease grouping (Holt-Oram, Klippel-Trenaunay-Weber, nail patella, Rubinstein-Taybi, sirenomelia, TAR, VATER) and nail-patella syndrome is only an inclusion term under it, so the object is far broader than MONDO:0008061; skos:broadMatch. ST-002: this same code is also asserted as the exact match for MONDO:0007864 in this set.	agent:claude-opus-5	-1.0	maprule:EV-006 lexical similarity only | maprule:SC-004 disjunctive rubric | maprule:PR-003 object is a superclass | maprule:ST-002 reverse proxy merge	needs-human-confirmation
MONDO:0008082	multiple endocrine neoplasia type 2B	skos:exactMatch	ICD10CM:E31.23	Multiple endocrine neoplasia [MEN] type IIB	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	multiple endocrine neoplasia type iib	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo synonym. || REVIEW: E31.23 'Multiple endocrine neoplasia [MEN] type IIB' is the sole MEN2B rubric under E31.2 and denotes exactly MONDO:0008082; only the bracketed expansion and the Roman numeral differ.	agent:claude-opus-5	1.0	maprule:EV-002 exact match on normalised label | maprule:PR-001 same real-world concept	
MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy	skos:exactMatch	ICD10CM:G90.B	LMNB1-related autosomal dominant leukodystrophy	semapv:CompositeMatching	claude-opus-5	0.8500	agentic_review			owl class	owl class	G90.B 'LMNB1-related autosomal dominant leukodystrophy' is the ICD-10-CM code created for exactly this entity, adult-onset autosomal dominant demyelinating leukodystrophy (ADLD). || REVIEW: G90.B 'LMNB1-related autosomal dominant leukodystrophy' is a current code under G90 created for ADLD and denotes exactly MONDO:0008215, which Mondo defines as the LMNB1-related adult-onset autosomal dominant demyelinating leukodystrophy.	agent:claude-opus-5	1.0	maprule:EV-012 automated adjudication over retrieved candidates | maprule:EV-009 definition comparison | maprule:PR-001 same real-world concept	
MONDO:0008234	multiple endocrine neoplasia type 2A	skos:exactMatch	ICD10CM:E31.22	Multiple endocrine neoplasia [MEN] type IIA	semapv:LexicalMatching	rdi-lexmatch	0.9506	base_normalization|add_possessive	sipple's syndrome	oio:hasExactSynonym	owl class	owl class	"Lexical tier surgery on the Mondo synonym. || REVIEW: E31.22 'Multiple endocrine neoplasia [MEN] type IIA' denotes exactly MONDO:0008234; the recorded ""sipple's syndrome"" hit is an inclusion-term match, but the primary labels also agree once the bracketed expansion is normalised, which is the stronger evidence and the one the row should have cited."	agent:claude-opus-5	1.0	maprule:EV-002 exact match on normalised label | maprule:EV-003 exact match on exact synonym | maprule:PR-001 same real-world concept	
MONDO:0008294	acute intermittent porphyria	skos:exactMatch	ICD10CM:E80.21	Acute intermittent (hepatic) porphyria	semapv:CompositeMatching	claude-opus-5	0.9500	agentic_review			owl class	owl class	E80.21 'Acute intermittent (hepatic) porphyria' is the rubric for exactly this disease, the parenthetical 'hepatic' being descriptive rather than a restriction. || REVIEW: E80.21 'Acute intermittent (hepatic) porphyria' is the only AIP rubric under E80.2 (its siblings being E80.20 'Unspecified porphyria' and E80.29 'Other porphyria') and denotes exactly MONDO:0008294; the parenthetical 'hepatic' is descriptive, not restrictive.	agent:claude-opus-5	1.0	maprule:EV-012 automated adjudication over retrieved candidates | maprule:EV-009 definition comparison | maprule:PR-001 same real-world concept	
MONDO:0008560	thrombophilia due to activated protein C resistance	skos:exactMatch	ICD10CM:D68.51	Activated protein C resistance	semapv:CompositeMatching	claude-opus-5	0.7000	agentic_review			owl class	owl class	ICD-10-CM D68.51 'Activated protein C resistance' sits under primary thrombophilia and denotes exactly the APC-resistance (factor V Leiden) thrombophilia named by the Mondo term; the alternative D68.59 is an 'other' residual. || REVIEW: D68.51 'Activated protein C resistance' sits under D68.5 'Primary thrombophilia', carries 'Factor V Leiden mutation' as its inclusion and explicitly excludes secondary APC resistance (D68.69), so it denotes exactly MONDO:0008560; accepted under the declared CM-004 conflation, the rubric being titled as a laboratory finding but classified by ICD as a disorder.	agent:claude-opus-5	1.0	maprule:EV-012 automated adjudication over retrieved candidates | maprule:EV-009 definition comparison | maprule:CM-004 finding-vs-disorder conflation | maprule:PR-001 same real-world concept	
MONDO:0008633	Muckle-Wells syndrome	skos:exactMatch	ICD10CM:M04.2	Cryopyrin-associated periodic syndromes	semapv:LexicalMatching	rdi-lexmatch	1.0000		Muckle-Wells syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo label. || REVIEW: M04.2 'Cryopyrin-associated periodic syndromes' lists CINCA, familial cold autoinflammatory syndrome, familial cold urticaria, Muckle-Wells syndrome and NOMID as inclusions, so it is the whole CAPS spectrum and strictly broader than MONDO:0008633; skos:broadMatch.	agent:claude-opus-5	-1.0	maprule:EV-006 lexical similarity only | maprule:SC-004 disjunctive rubric | maprule:PR-003 object is a superclass	needs-human-confirmation
MONDO:0008644	velocardiofacial syndrome	skos:exactMatch	ICD10CM:Q93.81	Velo-cardio-facial syndrome	semapv:CompositeMatching	claude-opus-5	0.9500	agentic_review			owl class	owl class	ICD-10-CM Q93.81 'Velo-cardio-facial syndrome' is the same entity as velocardiofacial (22q11.2 deletion) syndrome, differing only in hyphenation. || REVIEW: Q93.81 'Velo-cardio-facial syndrome' carries 'Deletion 22q11.2' as its inclusion and denotes exactly MONDO:0008644, whose exact synonyms include '22q11 deletion syndrome'; only hyphenation differs.	agent:claude-opus-5	1.0	maprule:EV-002 exact match on normalised label | maprule:PR-001 same real-world concept	
MONDO:0008667	von Hippel-Lindau disease	skos:exactMatch	ICD10CM:Q85.83	Von Hippel-Lindau syndrome	semapv:LexicalMatching	rdi-lexmatch	0.9800		Von Hippel-Lindau syndrome	rdfs:label	owl class	owl class	Lexical tier raw_exact on the Mondo synonym. || REVIEW: Q85.83 'Von Hippel-Lindau syndrome' is a dedicated current code under Q85.8 and denotes exactly MONDO:0008667, which carries 'von Hippel-Lindau syndrome' as an exact synonym.	agent:claude-opus-5	1.0	maprule:EV-003 exact match on exact synonym | maprule:PR-001 same real-world concept	
MONDO:0008692	abetalipoproteinemia	skos:exactMatch	ICD10CM:E78.6	Lipoprotein deficiency	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	abetalipoproteinemia	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label. || REVIEW (agent): ICD10CM:E78.6 'Lipoprotein deficiency' is a multi-disease rubric whose inclusion terms are Abetalipoproteinemia, Tangier disease, Hypobetalipoproteinemia (familial), High-density lipoprotein deficiency, Hypoalphalipoproteinemia, Lecithin cholesterol acyltransferase deficiency and Depressed HDL cholesterol, so it denotes at least four distinct diseases and cannot be coextensive with abetalipoproteinemia alone; the correct predicate is skos:broadMatch. The same code is also asserted exactMatch from MONDO:0008783 in this batch, an ST-002 reverse proxy merge. HUMAN CONFIRMATION REQUIRED before acting on this verdict; proposed action: re-predicate to skos:broadMatch.	agent:claude-opus-5	-1.0	maprule:SC-004 disjunctive rubric | maprule:PR-003 object is a superclass | maprule:ST-002 reverse proxy merge | maprule:EV-003 exact match on exact synonym	
MONDO:0008752	Alexander disease	skos:exactMatch	ICD10CM:G31.86	Alexander disease	semapv:LexicalMatching	rdi-lexmatch	1.0000		Alexander disease	rdfs:label	owl class	owl class	Lexical tier raw_exact on the Mondo label. || REVIEW (agent): ICD10CM:G31.86 'Alexander disease' is a current billable leaf code under G31.8 with no inclusion terms and no children, and its preferred title is identical to the Mondo primary label; extensions coincide and skos:exactMatch is correct.	agent:claude-opus-5	1.0	maprule:EV-001 exact match on primary label | maprule:PR-001 same real-world concept | maprule:ST-003 object identifier must exist	
MONDO:0008783	Tangier disease	skos:exactMatch	ICD10CM:E78.6	Lipoprotein deficiency	semapv:LexicalMatching	rdi-lexmatch	1.0000		Tangier disease	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo label. || REVIEW (agent): ICD10CM:E78.6 'Lipoprotein deficiency' lists Tangier disease as one of seven inclusion terms alongside abetalipoproteinemia, LCAT deficiency and the hypoalphalipoproteinemias, so the rubric is broader than Tangier disease by construction and skos:broadMatch is the right predicate; being an inclusion term makes E78.6 the coding home, not the concept. Also one half of an ST-002 reverse proxy merge with MONDO:0008692. HUMAN CONFIRMATION REQUIRED before acting on this verdict; proposed action: re-predicate to skos:broadMatch.	agent:claude-opus-5	-1.0	maprule:SC-004 disjunctive rubric | maprule:PR-003 object is a superclass | maprule:ST-002 reverse proxy merge | maprule:EV-003 exact match on exact synonym	
MONDO:0008830	aspartylglucosaminuria	skos:exactMatch	ICD10CM:E77.1	Defects in glycoprotein degradation	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	aspartylglucosaminuria	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label. || REVIEW (agent): ICD10CM:E77.1 'Defects in glycoprotein degradation' is an aetiological grouping whose inclusion terms are Aspartylglucosaminuria, Fucosidosis, Mannosidosis and Sialidosis [mucolipidosis I] -- four distinct lysosomal diseases -- so it is strictly broader than aspartylglucosaminuria and should carry skos:broadMatch. It is also asserted exactMatch from MONDO:0009254 in this batch, an ST-002 reverse proxy merge. HUMAN CONFIRMATION REQUIRED before acting on this verdict; proposed action: re-predicate to skos:broadMatch.	agent:claude-opus-5	-1.0	maprule:SC-004 disjunctive rubric | maprule:PR-003 object is a superclass | maprule:ST-002 reverse proxy merge | maprule:EV-003 exact match on exact synonym	
MONDO:0008840	ataxia telangiectasia	skos:exactMatch	ICD10CM:G11.3	Cerebellar ataxia with defective DNA repair	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	ataxia telangiectasia	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label. || REVIEW (agent): ICD10CM:G11.3 'Cerebellar ataxia with defective DNA repair' is a leaf with no children whose sole inclusion term is 'Ataxia telangiectasia [Louis-Bar]', and ICD-10-CM explicitly excludes the other DNA-repair conditions Cockayne syndrome (Q87.19) and xeroderma pigmentosum (Q82.1), which supports reading it as coextensive with A-T under SC-007; the reservation is that the rubric title names a genus, not the disease, and the other cerebellar ataxias with defective DNA repair (ataxia with oculomotor apraxia 1 and 2, ataxia-telangiectasia-like disorder) are not excluded and would plausibly index here, which would make this SC-006 and the object broader. Accepted with reservations because no more specific ICD-10-CM code for A-T exists. HUMAN CONFIRMATION REQUIRED before acting on this verdict; proposed action: SC-007 vs SC-006 call on the extension of G11.3.	agent:claude-opus-5	0.5	maprule:EV-003 exact match on exact synonym | maprule:SC-007 rubric coextensive with subject | maprule:SC-006 subtype under type-agnostic rubric | maprule:PR-001 same real-world concept	
MONDO:0009050	Cushing disease due to pituitary adenoma	skos:exactMatch	ICD10CM:E24	Cushing's syndrome	semapv:LexicalMatching	rdi-lexmatch	0.8624	base_normalization|disease_to_syndrome	cushing's syndrome	rdfs:label	owl class	owl class	"Lexical tier surgery on the Mondo synonym. || REVIEW (agent): ICD10CM:E24 ""Cushing's syndrome"" is a three-character category, not a codeable term, and it subdivides into E24.0 pituitary-dependent Cushing's disease, E24.1 Nelson's syndrome, E24.2 drug-induced, E24.3 ectopic ACTH syndrome, E24.4 alcohol-induced pseudo-Cushing's, E24.8 and E24.9 -- so it spans aetiologies that are not the subject at all. This is the SC-006 worked example: the subtype-specific code E24.0 exists and is the correct exactMatch target; E24 can only be skos:broadMatch. The declared disease_to_syndrome transformation also rewrote the aetiology out of the subject label, which is what produced the false hit. HUMAN CONFIRMATION REQUIRED before acting on this verdict; proposed action: replace object with ICD10CM:E24.0, or re-predicate to skos:broadMatch."	agent:claude-opus-5	-1.0	maprule:SC-006 subtype under type-agnostic rubric | maprule:PR-003 object is a superclass | maprule:EV-004 match after declared lexical transformation	
MONDO:0009072	Dandy-Walker syndrome	skos:exactMatch	ICD10CM:Q03.1	Atresia of foramina of Magendie and Luschka	semapv:LexicalMatching	rdi-lexmatch	1.0000		Dandy-Walker syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier raw_exact on the Mondo label. || REVIEW (agent): ICD10CM:Q03.1 'Atresia of foramina of Magendie and Luschka' is a current leaf with no children whose sole inclusion term is 'Dandy-Walker syndrome'; ICD names the defining anatomical lesion where Mondo names the syndrome, a CM-005 divergence that is knowingly crossed here, but the classification itself asserts the two denote one entity and no competing ICD-10-CM code exists, so extensions coincide and skos:exactMatch holds.	agent:claude-opus-5	1.0	maprule:EV-003 exact match on exact synonym | maprule:SC-007 rubric coextensive with subject | maprule:CM-005 etiological vs phenomenological divergence | maprule:PR-001 same real-world concept	
MONDO:0009114	congenital sucrase-isomaltase deficiency	skos:exactMatch	ICD10CM:E74.31	Sucrase-isomaltase deficiency	semapv:LexicalMatching	rdi-lexmatch	0.9800	base_normalization	sucrase-isomaltase deficiency	rdfs:label	owl class	owl class	Lexical tier normalized on the Mondo synonym. || REVIEW (agent): ICD10CM:E74.31 'Sucrase-isomaltase deficiency' is a current leaf under E74.3 with no inclusion terms and no children, sibling only to E74.39 'Other disorders of intestinal carbohydrate absorption'; it matches the Mondo exact synonym 'sucrase-isomaltase deficiency' and the code was created for the congenital disease, so the missing word 'congenital' is ICD house naming rather than a difference in extension.	agent:claude-opus-5	1.0	maprule:EV-003 exact match on exact synonym | maprule:PR-001 same real-world concept | maprule:ST-003 object identifier must exist	
MONDO:0009254	fucosidosis	skos:exactMatch	ICD10CM:E77.1	Defects in glycoprotein degradation	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	fucosidosis	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label. || REVIEW (agent): ICD10CM:E77.1 'Defects in glycoprotein degradation' covers fucosidosis together with aspartylglucosaminuria, mannosidosis and sialidosis, so the rubric denotes four distinct diseases and is broader than fucosidosis; skos:broadMatch is correct. Also one half of an ST-002 reverse proxy merge with MONDO:0008830. HUMAN CONFIRMATION REQUIRED before acting on this verdict; proposed action: re-predicate to skos:broadMatch.	agent:claude-opus-5	-1.0	maprule:SC-004 disjunctive rubric | maprule:PR-003 object is a superclass | maprule:ST-002 reverse proxy merge | maprule:EV-003 exact match on exact synonym	
MONDO:0009276	Bernard-Soulier syndrome	skos:exactMatch	ICD10CM:D69.1	Qualitative platelet defects	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	bernard-soulier syndrome	oio:hasExactSynonym	owl class	owl class	Lexical tier normalized on the Mondo label. || REVIEW (agent): ICD10CM:D69.1 'Qualitative platelet defects' is a leaf rubric whose inclusion terms are Bernard-Soulier [giant platelet] syndrome, Glanzmann's disease, Grey platelet syndrome, Thromboasthenia (hemorrhagic)(hereditary) and Thrombocytopathy, so it groups several distinct platelet function disorders and is strictly broader than Bernard-Soulier syndrome; the right predicate is skos:broadMatch. No Bernard-Soulier-specific ICD-10-CM code exists. HUMAN CONFIRMATION REQUIRED before acting on this verdict; proposed action: re-predicate to skos:broadMatch.	agent:claude-opus-5	-1.0	maprule:SC-004 disjunctive rubric | maprule:PR-003 object is a superclass | maprule:EV-003 exact match on exact synonym	
MONDO:0009303	anti-glomerular basement membrane disease	skos:exactMatch	ICD10CM:M31.0	Hypersensitivity angiitis	semapv:LexicalMatching	rdi-lexmatch	0.9506	base_normalization|add_possessive	goodpasture's syndrome	oio:hasExactSynonym	owl class	owl class	"Lexical tier surgery on the Mondo synonym. || REVIEW (agent): ICD10CM:M31.0 'Hypersensitivity angiitis' carries ""Goodpasture's syndrome"" as its sole inclusion term and is therefore the coding home for anti-GBM disease, but the rubric title is itself an indexed clinical concept -- hypersensitivity (leukocytoclastic) vasculitis -- with a much wider extension, and anti-GBM disease is an anti-basement-membrane antibody disease, not an immune-complex hypersensitivity vasculitis, so ICD is individuating by vasculitic mechanism where Mondo individuates by autoantibody target (CM-005). Probably wrong as an exactMatch; skos:broadMatch, or skos:closeMatch if the curator judges the concepts merely adjacent. HUMAN CONFIRMATION REQUIRED before acting on this verdict; proposed action: re-predicate to skos:broadMatch or skos:closeMatch."	agent:claude-opus-5	-0.5	maprule:SC-006 subtype under type-agnostic rubric | maprule:PR-003 object is a superclass | maprule:CM-005 etiological vs phenomenological divergence | maprule:EV-003 exact match on exact synonym	
MONDO:0009324	Hartnup disease	skos:exactMatch	ICD10CM:E72.02	Hartnup's disease	semapv:LexicalMatching	rdi-lexmatch	0.9700	base_normalization|add_possessive	hartnup's disease	rdfs:label	owl class	owl class	"Lexical tier surgery on the Mondo label. || REVIEW (agent): ICD10CM:E72.02 ""Hartnup's disease"" is a current leaf under E72.0 with no inclusion terms and no children; the only difference from the Mondo primary label is the possessive, a bounded rewrite already recorded in subject_preprocessing (add_possessive), so skos:exactMatch is correct."	agent:claude-opus-5	1.0	maprule:EV-004 match after declared lexical transformation | maprule:PR-001 same real-world concept | maprule:ST-003 object identifier must exist	
MONDO:0009443	autosomal recessive congenital ichthyosis 4B	skos:exactMatch	ICD10CM:Q80.4	Harlequin fetus	semapv:CompositeMatching	claude-opus-5	0.8500	agentic_review			owl class	owl class	ICD-10-CM Q80.4 'Harlequin fetus' is the classification's rubric for harlequin ichthyosis, the same disease as ARCI4B; 'fetus' vs 'ichthyosis' is ICD house naming, not a difference in extension. || REVIEW (agent): confirmed, and on stronger evidence than the recorded justification -- ICD10CM:Q80.4 'Harlequin fetus' is a current leaf under Q80 (siblings Q80.0-Q80.3, Q80.8, Q80.9) and 'Harlequin fetus' is a verbatim Mondo exact synonym of MONDO:0009443, so this is EV-003 rather than model judgement alone; harlequin ichthyosis is the whole of ARCI type 4B and extensions coincide.	agent:claude-opus-5	1.0	maprule:EV-003 exact match on exact synonym | maprule:EV-012 automated adjudication over retrieved candidates | maprule:PR-001 same real-world concept	
MONDO:0009528	chylomicron retention disease	skos:exactMatch	ICD10CM:E78.3	Hyperchylomicronemia	semapv:LexicalMatching	rdi-lexmatch	1.0000	base_normalization	chylomicron retention disease	oio:hasExactSynonym	owl class	owl class	"Lexical tier normalized on the Mondo label. || REVIEW (agent): ICD10CM:E78.3 'Hyperchylomicronemia' does list 'Chylomicron retention disease' among its inclusion terms -- which is what produced this hit -- but the rubric's other inclusion terms are ""Fredrickson's hyperlipoproteinemia, type I or V"", 'Hyperlipidemia, group D' and 'Mixed hyperglyceridemia', i.e. the lipoprotein lipase deficiency spectrum, a disjunctive grouping of distinct diseases. Worse, the rubric title asserts the opposite pathophysiology to the subject: chylomicron retention disease (Anderson disease) is a hypobetalipoproteinemia in which chylomicrons fail to leave the enterocyte and plasma chylomicrons are absent. Not an exactMatch; skos:broadMatch at most, and a curator should consider whether E78.6 'Lipoprotein deficiency' (which includes familial hypobetalipoproteinemia) is the better broad target. HUMAN CONFIRMATION REQUIRED before acting on this verdict; proposed action: re-predicate to skos:broadMatch and reconsider the target code."	agent:claude-opus-5	-1.0	maprule:SC-004 disjunctive rubric | maprule:PR-003 object is a superclass | maprule:RJ-004 token overlap only | maprule:EV-006 lexical similarity only	
